Timestamp,Estado_Facial,Sentimiento_Texto,Congruencia,Texto
21:09:06,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:07,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:07,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:07,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:07,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:07,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:07,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:07,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:07,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:07,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:07,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:07,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:07,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:07,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:08,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:09,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:10,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:10,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:10,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:10,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:10,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:10,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:10,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:10,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:10,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:10,NEUTRAL,NEUTRAL,COHERENTE,
21:09:10,NEUTRAL,NEUTRAL,COHERENTE,
21:09:10,NEUTRAL,NEUTRAL,COHERENTE,
21:09:10,NEUTRAL,NEUTRAL,COHERENTE,
21:09:10,NEUTRAL,NEUTRAL,COHERENTE,
21:09:10,NEUTRAL,NEUTRAL,COHERENTE,
21:09:10,NEUTRAL,NEUTRAL,COHERENTE,
21:09:11,NEUTRAL,NEUTRAL,COHERENTE,
21:09:11,NEUTRAL,NEUTRAL,COHERENTE,
21:09:11,NEUTRAL,NEUTRAL,COHERENTE,
21:09:11,MANOS ARRIBA,NEUTRAL,COHERENTE,
21:09:11,NEUTRAL,NEUTRAL,COHERENTE,
21:09:11,NEUTRAL,NEUTRAL,COHERENTE,
21:09:11,NEUTRAL,NEUTRAL,COHERENTE,
21:09:11,NEUTRAL,NEUTRAL,COHERENTE,
21:09:11,NEUTRAL,NEUTRAL,COHERENTE,
21:09:11,NEUTRAL,NEUTRAL,COHERENTE,
21:09:11,NEUTRAL,NEUTRAL,COHERENTE,
21:09:11,NEUTRAL,NEUTRAL,COHERENTE,
21:09:11,NEUTRAL,NEUTRAL,COHERENTE,
21:09:12,NEUTRAL,NEUTRAL,COHERENTE,
21:09:12,NEUTRAL,NEUTRAL,COHERENTE,
21:09:12,NEUTRAL,NEUTRAL,COHERENTE,
21:09:12,NEUTRAL,NEUTRAL,COHERENTE,
21:09:12,NEUTRAL,NEUTRAL,COHERENTE,
21:09:12,NEUTRAL,NEUTRAL,COHERENTE,
21:09:12,NEUTRAL,NEUTRAL,COHERENTE,
21:09:12,NEUTRAL,NEUTRAL,COHERENTE,
21:09:12,NEUTRAL,NEUTRAL,COHERENTE,
21:09:12,NEUTRAL,NEUTRAL,COHERENTE,
21:09:12,NEUTRAL,NEUTRAL,COHERENTE,
21:09:12,NEUTRAL,NEUTRAL,COHERENTE,
21:09:12,NEUTRAL,NEUTRAL,COHERENTE,
21:09:13,NEUTRAL,NEUTRAL,COHERENTE,
21:09:13,NEUTRAL,NEUTRAL,COHERENTE,
