Timestamp,Estado,MAR,Ceño,Texto
16:57:21,NEUTRAL,0.29,0.217,
16:57:21,NEUTRAL,0.28,0.227,
16:57:21,NEUTRAL,0.26,0.203,
16:57:21,NEUTRAL,0.18,0.210,
16:57:21,NEUTRAL,0.17,0.215,
16:57:21,NEUTRAL,0.15,0.218,
16:57:21,NEUTRAL,0.18,0.222,
16:57:21,NEUTRAL,0.13,0.213,
16:57:21,NEUTRAL,0.15,0.212,
16:57:21,NEUTRAL,0.31,0.206,
16:57:21,NEUTRAL,0.33,0.206,
16:57:21,NEUTRAL,0.30,0.203,
16:57:21,NEUTRAL,0.31,0.202,
16:57:21,NEUTRAL,0.29,0.197,
16:57:21,NEUTRAL,0.28,0.203,
16:57:22,NEUTRAL,0.25,0.206,
16:57:22,NEUTRAL,0.14,0.215,
16:57:22,NEUTRAL,0.14,0.226,
16:57:22,NEUTRAL,0.23,0.215,
16:57:22,NEUTRAL,0.03,0.231,
16:57:22,NEUTRAL,0.26,0.217,
16:57:22,NEUTRAL,0.28,0.217,
16:57:22,NEUTRAL,0.25,0.217,supongo que
16:57:22,NEUTRAL,0.21,0.229,supongo que
16:57:22,NEUTRAL,0.00,1.000,supongo que
16:57:22,NEUTRAL,0.01,0.254,supongo que
16:57:22,NEUTRAL,0.00,0.233,supongo que
16:57:22,NEUTRAL,0.01,0.237,supongo que
16:57:22,NEUTRAL,0.03,0.245,supongo que
16:57:22,NEUTRAL,0.31,0.222,pero aquel que dice mira mira
16:57:22,NEUTRAL,0.31,0.224,pero aquel que dice mira mira
16:57:23,NEUTRAL,0.28,0.235,pero aquel que dice mira mira
16:57:23,NEUTRAL,0.18,0.205,pero aquel que dice mira mira
16:57:23,NEUTRAL,0.23,0.218,pero aquel que dice mira mira este
16:57:23,NEUTRAL,0.00,1.000,pero aquel que dice mira mira este
16:57:23,NEUTRAL,0.29,0.226,pero aquel que dice mira mira este
16:57:23,NEUTRAL,0.18,0.212,pero aquel que dice mira mira este
16:57:23,NEUTRAL,0.08,0.228,pero aquel que dice mira mira este
16:57:23,NEUTRAL,0.02,0.228,pero aquel que dice mira mira este
16:57:23,NEUTRAL,0.01,0.234,pero aquel que dice mira mira este
16:57:23,NEUTRAL,0.05,0.223,pero aquel que dice mira mira este
