Timestamp,Estado,MAR,Ceño,Texto
16:53:26,MANOS ARRIBA,0.00,0.221,
16:53:27,MANOS ARRIBA,0.01,0.211,
16:53:27,MANOS ARRIBA,0.00,0.218,
16:53:27,MANOS ARRIBA,0.00,0.213,
16:53:27,MANOS ARRIBA,0.00,0.214,
16:53:27,MANOS ARRIBA,0.00,0.216,
16:53:27,MANOS ARRIBA,0.00,0.224,
16:53:27,MANOS ARRIBA,0.00,0.208,
16:53:27,MANOS ARRIBA,0.00,0.211,
16:53:27,MANOS ARRIBA,0.01,0.230,
16:53:27,MANOS ARRIBA,0.01,0.226,
16:53:28,MANOS ARRIBA,0.01,0.232,
16:53:28,MANOS ARRIBA,0.01,0.230,
16:53:28,MANOS ARRIBA,0.01,0.228,
16:53:28,MANOS ARRIBA,0.00,0.226,
16:53:28,MANOS ARRIBA,0.00,0.229,
16:53:28,MANOS ARRIBA,0.00,0.220,
16:53:28,MANOS ARRIBA,0.01,0.222,
16:53:28,MANOS ARRIBA,0.01,0.236,
16:53:28,MANOS ARRIBA,0.00,0.235,
16:53:28,MANOS ARRIBA,0.02,0.230,
16:53:28,MANOS ARRIBA,0.03,0.236,
16:53:28,MANOS ARRIBA,0.01,0.233,
16:53:28,MANOS ARRIBA,0.02,0.222,
16:53:28,NEUTRAL,0.01,0.231,
16:53:28,NEUTRAL,0.18,0.234,
16:53:29,NEUTRAL,0.21,0.236,
16:53:29,NEUTRAL,0.25,0.222,
16:53:29,NEUTRAL,0.26,0.217,
16:53:29,NEUTRAL,0.24,0.220,
16:53:29,NEUTRAL,0.19,0.219,
16:53:29,NEUTRAL,0.10,0.217,
16:53:29,NEUTRAL,0.09,0.214,
16:53:29,NEUTRAL,0.26,0.212,
16:53:29,NEUTRAL,0.26,0.214,
16:53:29,NEUTRAL,0.12,0.216,
16:53:29,NEUTRAL,0.11,0.219,
16:53:29,NEUTRAL,0.01,0.212,hola qué tal
16:53:29,NEUTRAL,0.00,0.225,hola qué tal
16:53:29,NEUTRAL,0.07,0.232,hola qué tal
16:53:29,NEUTRAL,0.32,0.233,hola qué tal
16:53:29,NEUTRAL,0.31,0.232,hola qué tal
16:53:29,NEUTRAL,0.31,0.231,hola qué tal
16:53:29,NEUTRAL,0.00,0.240,hola qué tal
16:53:30,NEUTRAL,0.18,0.228,hola qué tal
16:53:30,NEUTRAL,0.00,0.233,hola qué tal
16:53:30,NEUTRAL,0.01,0.233,hola qué tal como
16:53:30,NEUTRAL,0.01,0.232,hola qué tal como
16:53:30,NEUTRAL,0.23,0.233,hola qué tal como
16:53:30,NEUTRAL,0.21,0.240,hola qué tal como
16:53:30,NEUTRAL,0.20,0.240,hola qué tal como
16:53:30,NEUTRAL,0.19,0.237,hola qué tal como están
16:53:30,NEUTRAL,0.29,0.241,hola qué tal como están
16:53:30,NEUTRAL,0.29,0.238,hola qué tal como están
16:53:30,NEUTRAL,0.30,0.241,hola qué tal como están mi nombre
16:53:30,NEUTRAL,0.25,0.235,hola qué tal como están mi nombre
16:53:31,NEUTRAL,0.19,0.215,hola qué tal como están mi nombre es ariel rosas el diablo
16:53:32,NEUTRAL,0.21,0.228,hola qué tal como están mi nombre es ariel rosas el diablo
16:53:32,NEUTRAL,0.20,0.225,hola qué tal como están mi nombre es ariel rosas el diablo
16:53:32,NEUTRAL,0.20,0.226,hola qué tal como están mi nombre es ariel rosas el día de hoy
16:53:32,NEUTRAL,0.21,0.220,hola qué tal como están mi nombre es ariel rosas el día de hoy
16:53:32,NEUTRAL,0.01,0.223,hola qué tal como están mi nombre es ariel rosas el día de hoy
16:53:32,NEUTRAL,0.00,0.220,hola qué tal como están mi nombre es ariel rosas el día de hoy estoy haciendo
16:53:32,NEUTRAL,0.00,0.224,hola qué tal como están mi nombre es ariel rosas el día de hoy estoy haciendo
16:53:32,NEUTRAL,0.00,0.223,hola qué tal como están mi nombre es ariel rosas el día de hoy estoy haciendo
16:53:32,NEUTRAL,0.00,0.223,hola qué tal como están mi nombre es ariel rosas el día de hoy estoy haciendo
16:53:32,NEUTRAL,0.30,0.219,hola qué tal como están mi nombre es ariel rosas el día de hoy estoy haciendo
16:53:32,NEUTRAL,0.31,0.223,hola qué tal como están mi nombre es ariel rosas el día de hoy estoy haciendo
16:53:32,NEUTRAL,0.32,0.216,hola qué tal como están mi nombre es ariel rosas el día de hoy estoy haciendo
16:53:32,NEUTRAL,0.31,0.221,hola qué tal como están mi nombre es ariel rosas el día de hoy estoy haciendo un
16:53:32,NEUTRAL,0.00,0.217,hola qué tal como están mi nombre es ariel rosas el día de hoy estoy haciendo un
