Timestamp,Estado_Facial,Sentimiento_Texto,Congruencia,Texto
17:36:53,NEUTRAL,NEUTRAL,COHERENTE,
17:36:53,NEUTRAL,NEUTRAL,COHERENTE,
17:36:53,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:54,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:55,NEUTRAL,NEUTRAL,COHERENTE,
17:36:56,NEUTRAL,NEUTRAL,COHERENTE,
17:36:56,NEUTRAL,NEUTRAL,COHERENTE,
17:36:56,NEUTRAL,NEUTRAL,COHERENTE,
17:36:56,NEUTRAL,NEUTRAL,COHERENTE,
17:36:56,NEUTRAL,NEUTRAL,COHERENTE,
17:36:56,NEUTRAL,NEUTRAL,COHERENTE,
17:36:57,NEUTRAL,NEUTRAL,COHERENTE,
17:36:57,NEUTRAL,NEUTRAL,COHERENTE,
17:36:57,NEUTRAL,NEUTRAL,COHERENTE,
17:36:57,NEUTRAL,NEUTRAL,COHERENTE,
17:36:57,NEUTRAL,NEUTRAL,COHERENTE,
17:36:57,NEUTRAL,NEUTRAL,COHERENTE,
17:36:57,NEUTRAL,NEUTRAL,COHERENTE,
17:36:57,NEUTRAL,NEUTRAL,COHERENTE,
17:36:57,NEUTRAL,NEUTRAL,COHERENTE,
17:36:57,NEUTRAL,NEUTRAL,COHERENTE,
17:36:57,NEUTRAL,NEUTRAL,COHERENTE,
17:36:57,NEUTRAL,NEUTRAL,COHERENTE,
17:36:57,NEUTRAL,NEUTRAL,COHERENTE,
17:36:58,HABLANDO,NEUTRAL,COHERENTE,
17:36:58,HABLANDO,NEUTRAL,COHERENTE,
17:36:58,HABLANDO,NEUTRAL,COHERENTE,
17:36:58,HABLANDO,NEUTRAL,COHERENTE,
17:36:58,NEUTRAL,NEUTRAL,COHERENTE,
17:36:58,NEUTRAL,NEUTRAL,COHERENTE,
17:36:58,NEUTRAL,NEUTRAL,COHERENTE,
17:36:58,NEUTRAL,NEUTRAL,COHERENTE,uno
17:36:58,NEUTRAL,NEUTRAL,COHERENTE,uno
17:36:58,NEUTRAL,NEUTRAL,COHERENTE,uno
17:36:58,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:58,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:58,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:58,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:58,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:59,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:59,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:59,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:59,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:59,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:59,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:59,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:59,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:59,NEUTRAL,NEUTRAL,COHERENTE,una
17:36:59,NEUTRAL,NEUTRAL,COHERENTE,una
